path,type,size,mode,uid,gid,mtime,scope,install_class,source,source_reference,sha256,notes
/etc/mnttab,file,280,0644,0,0,664328462,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/mnttab,e5eb6ef905f09590f4fe6aeb7953cf57fb04a7831b6a4768cb233e2e399d8363,mode/uid/gid recovered from parent .contents
/etc/model,file,6104,0700,0,0,469762999,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/model,86f83ed8b4a834404dc5d5f62d380143466f59f08ca3571eb019b3c28e844c34,mode/uid/gid recovered from parent .contents
/etc/motd,file,0,0664,3,0,664326996,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/motd,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,mode/uid/gid recovered from parent .contents
/etc/motd_old,file,630,0600,508,20,534436027,common-installed-snapshot,unclassified-installed-snapshot,S8000-2.tar,etc/motd_old,5af4788da207e98cf4da71217d7e53df345664e92dd9e4ffbc00427d4123de39,metadata from modern tar wrapper
/etc/mount,file,9714,4750,0,0,469762977,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/mount,97c3f7db1907169b8e27cbf2b4438c1a246e97c6af84faa26ce126585fbd4d7b,mode/uid/gid recovered from parent .contents
/etc/mvdir,file,588,0700,0,0,469762998,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/mvdir,a9bd9b2c759ee8e8274651d5d4c9e755d6bbd19bc82221609f5c0587d0991b7c,mode/uid/gid recovered from parent .contents
/etc/ncheck,file,8774,4750,3,0,469762978,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/ncheck,dd779b92695a37c0b7714305c8be774fc7a55b76bd7f7be63b8343a770663ad5,mode/uid/gid recovered from parent .contents
/etc/opasswd,file,1081,0600,508,20,661837282,common-installed-snapshot,unclassified-installed-snapshot,S8000-2.tar,etc/opasswd,5cd0f74e031dc77990247f37b8c4331aabb1f6db6349fabd66b355bf80be5f27,metadata from modern tar wrapper
/etc/package,file,4946,0700,0,0,469762978,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/package,6c47472f28baf7eaa8716024786f4035b05438134bde548a1aab98e0e754cfc6,mode/uid/gid recovered from parent .contents
/etc/passwd,file,1093,0644,0,0,661837290,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/passwd,e8107681163b5d201f9e97b4daf3ca44487b67dea2918edff3b1c491f5d212eb,mode/uid/gid recovered from parent .contents
/etc/profile,file,71,0644,3,0,534435748,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/profile,9bd69365726a9c6228970774af71afeadf83dfa9ff319552c53b43a4822817b8,mode/uid/gid recovered from parent .contents
/etc/rc,file,849,0744,0,0,560909921,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/rc,34e75f8d3dcd890baa51fb98f71a6b13b786ecc67d67911b597ad52aaaa34bca,mode/uid/gid recovered from parent .contents
/etc/rc_csh,file,1184,0744,0,0,661887911,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/rc_csh,6fc0837f67582b878f9151431111dd753825d5bc30bf6e8bea567872e3cc5120,mode/uid/gid recovered from parent .contents
